# PROVENANCE: blackhole p100a, 110 worker cores, 1.35 GHz, firmware bundle 19.9.0; tt-metal main 2dbd14bf632; 2026-09-12 multipass perf counter capture (5 passes over the counter groups fpu, instrn, unpack, pack and l1_0 to l1_4; 10 top-k cells), reduced 2026-09-16 by analysis/topk_counters_reduce.py. fraction_of_ref_cnt = counter value over that record's own ref cnt on the same core, median over the participating cores then over the two timed invocations (three warm-ups discarded). The composite cell COUNTERS-289 is excluded from any reading: its second and third ops report an unusable ref cnt (tenstorrent/tt-metal#56791).
cell,op,counter,fraction_of_ref_cnt,n_samples
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_NOC_RING1_INCOMING_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_NOC_RING1_INCOMING_2_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_NOC_RING1_INCOMING_3,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_NOC_RING1_INCOMING_3_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_NOC_RING1_OUTGOING_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_NOC_RING1_OUTGOING_2_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_NOC_RING1_OUTGOING_3,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_NOC_RING1_OUTGOING_3_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_TDMA_PACK_EXT_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_TDMA_PACK_EXT_0_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_TDMA_PACK_EXT_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_TDMA_PACK_EXT_1_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_TDMA_PACK_EXT_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_TDMA_PACK_EXT_2_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_TDMA_PACK_EXT_3,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_3_TDMA_PACK_EXT_3_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_4_TAG_SEARCH_PACKER1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_4_TAG_SEARCH_PACKER1_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_4_TDMA_PACK_EXT_4,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_4_TDMA_PACK_EXT_4_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_4_TDMA_PACK_EXT_5,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,L1_4_TDMA_PACK_EXT_5_GRANT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,MATH_COUNTER,0.6682,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,MATH_INSTRN_AVAILABLE,0.1557,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,MATH_INSTRN_STARTED,0.1131,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,MATH_NOT_STALLED_DEST_WR_PORT,0.1557,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,MATH_SRC_DATA_READY,0.0014,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,MOVE_INSTRN_AVAILABLE_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,MOVE_INSTRN_AVAILABLE_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,MOVE_INSTRN_AVAILABLE_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,PACKER_BUSY,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,PACKER_DEST_READ_AVAILABLE,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,PACK_INSTRN_AVAILABLE_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,PACK_INSTRN_AVAILABLE_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,PACK_INSTRN_AVAILABLE_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SFPU_COUNTER,0.5711,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SRCA_WRITE_ACTUAL,0.0027,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SRCA_WRITE_AVAILABLE,0.0027,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SRCA_WRITE_NOT_BLOCKED_OVR,0.0027,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SRCA_WRITE_THREAD0,0.0027,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SRCA_WRITE_THREAD1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SRCB_WRITE_ACTUAL,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SRCB_WRITE_AVAILABLE,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SRCB_WRITE_NOT_BLOCKED_PORT,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SRCB_WRITE_THREAD0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SRCB_WRITE_THREAD1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SYNC_INSTRN_AVAILABLE_0,0.0008,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SYNC_INSTRN_AVAILABLE_1,0.001,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,SYNC_INSTRN_AVAILABLE_2,0.0001,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,THCON_INSTRN_AVAILABLE_0,0.0004,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,THCON_INSTRN_AVAILABLE_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,THCON_INSTRN_AVAILABLE_2,0.0003,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,THREAD_INSTRUCTIONS_0,0.0037,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,THREAD_INSTRUCTIONS_1,0.7167,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,THREAD_INSTRUCTIONS_2,0.0008,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,THREAD_STALLS_0,0.9087,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,THREAD_STALLS_1,0.0008,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,THREAD_STALLS_2,0.9961,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,UNPACK0_BUSY_THREAD0,0.9342,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,UNPACK0_BUSY_THREAD1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,UNPACK1_BUSY_THREAD0,0.932,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,UNPACK1_BUSY_THREAD1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,UNPACK_INSTRN_AVAILABLE_0,0.0018,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,UNPACK_INSTRN_AVAILABLE_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,UNPACK_INSTRN_AVAILABLE_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_MATH_IDLE_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_MATH_IDLE_1,0.0013,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_MATH_IDLE_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_MMIO_IDLE_0,0.0002,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_MMIO_IDLE_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_MMIO_IDLE_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_MOVE_IDLE_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_MOVE_IDLE_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_MOVE_IDLE_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_NONFULL_SEM_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_NONFULL_SEM_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_NONFULL_SEM_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_NONZERO_SEM_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_NONZERO_SEM_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_NONZERO_SEM_2,0.9962,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_PACK_IDLE_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_PACK_IDLE_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_PACK_IDLE_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_SFPU_IDLE_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_SFPU_IDLE_1,0.0007,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_SFPU_IDLE_2,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_SRCA_CLEAR,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_SRCA_VALID,0.0003,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_SRCB_CLEAR,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_SRCB_VALID,0.0003,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_THCON_IDLE_0,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_THCON_IDLE_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_THCON_IDLE_2,0.0001,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_UNPACK_IDLE_0,0.9086,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_UNPACK_IDLE_1,0.0,2
COUNTERS-283-li-R110-N16384-K2048,TopkLargeIndices,WAITING_FOR_UNPACK_IDLE_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,ANY_THREAD_STALL,0.9994,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,AVAILABLE_MATH,0.2092,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,CFG_INSTRN_AVAILABLE_0,0.0034,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,CFG_INSTRN_AVAILABLE_1,0.0656,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,CFG_INSTRN_AVAILABLE_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,DATA_HAZARD_STALLS_MOVD2A,0.1642,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,DEST_READ_GRANTED_0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,FPU_COUNTER,0.1254,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,FPU_INSTRN_AVAILABLE_0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,FPU_INSTRN_AVAILABLE_1,0.213,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,FPU_INSTRN_AVAILABLE_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_NOC_RING0_INCOMING_0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_NOC_RING0_INCOMING_0_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_NOC_RING0_INCOMING_1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_NOC_RING0_INCOMING_1_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_NOC_RING0_OUTGOING_0,0.0055,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_NOC_RING0_OUTGOING_0_GRANT,0.0055,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_NOC_RING0_OUTGOING_1,0.0055,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_NOC_RING0_OUTGOING_1_GRANT,0.0055,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_PORT1_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_TDMA_BUNDLE_0_GRANT,0.001,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_TDMA_BUNDLE_0_RISC,0.0011,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_TDMA_BUNDLE_1_GRANT,0.1368,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_TDMA_BUNDLE_1_TRISC,0.1369,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_UNPACKER_0,0.0027,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_UNPACKER_0_GRANT,0.0027,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_0_UNPACKER_1_ECC,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_EXT_UNPACKER_1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_EXT_UNPACKER_1_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_EXT_UNPACKER_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_EXT_UNPACKER_2_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_EXT_UNPACKER_3,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_EXT_UNPACKER_3_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_NOC_RING1_INCOMING_0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_NOC_RING1_INCOMING_0_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_NOC_RING1_INCOMING_1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_NOC_RING1_INCOMING_1_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_NOC_RING1_OUTGOING_0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_NOC_RING1_OUTGOING_0_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_NOC_RING1_OUTGOING_1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_NOC_RING1_OUTGOING_1_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_PORT8_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_1_TDMA_PACKER_0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_4,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_4_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_5,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_5_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_6,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_6_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_7,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_7_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_NOC_RING0_INCOMING_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_NOC_RING0_INCOMING_2_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_NOC_RING0_INCOMING_3,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_NOC_RING0_INCOMING_3_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_NOC_RING0_OUTGOING_2,0.0055,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_NOC_RING0_OUTGOING_2_GRANT,0.0055,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_NOC_RING0_OUTGOING_3,0.0055,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_2_NOC_RING0_OUTGOING_3_GRANT,0.0055,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_NOC_RING1_INCOMING_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_NOC_RING1_INCOMING_2_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_NOC_RING1_INCOMING_3,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_NOC_RING1_INCOMING_3_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_NOC_RING1_OUTGOING_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_NOC_RING1_OUTGOING_2_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_NOC_RING1_OUTGOING_3,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_NOC_RING1_OUTGOING_3_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_0_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_1_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_2_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_3,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_3_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_4_TAG_SEARCH_PACKER1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_4_TAG_SEARCH_PACKER1_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_4_TDMA_PACK_EXT_4,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_4_TDMA_PACK_EXT_4_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_4_TDMA_PACK_EXT_5,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,L1_4_TDMA_PACK_EXT_5_GRANT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,MATH_COUNTER,0.671,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,MATH_INSTRN_AVAILABLE,0.2092,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,MATH_INSTRN_STARTED,0.1516,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,MATH_NOT_STALLED_DEST_WR_PORT,0.2092,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,MATH_SRC_DATA_READY,0.0027,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,MOVE_INSTRN_AVAILABLE_0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,MOVE_INSTRN_AVAILABLE_1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,MOVE_INSTRN_AVAILABLE_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,PACKER_BUSY,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,PACKER_DEST_READ_AVAILABLE,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,PACK_INSTRN_AVAILABLE_0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,PACK_INSTRN_AVAILABLE_1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,PACK_INSTRN_AVAILABLE_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SFPU_COUNTER,0.5456,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SRCA_WRITE_ACTUAL,0.0027,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SRCA_WRITE_AVAILABLE,0.0027,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SRCA_WRITE_NOT_BLOCKED_OVR,0.0027,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SRCA_WRITE_THREAD0,0.0027,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SRCA_WRITE_THREAD1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SRCB_WRITE_ACTUAL,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SRCB_WRITE_AVAILABLE,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SRCB_WRITE_NOT_BLOCKED_PORT,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SRCB_WRITE_THREAD0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SRCB_WRITE_THREAD1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SYNC_INSTRN_AVAILABLE_0,0.0024,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SYNC_INSTRN_AVAILABLE_1,0.0051,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,SYNC_INSTRN_AVAILABLE_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,THCON_INSTRN_AVAILABLE_0,0.0014,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,THCON_INSTRN_AVAILABLE_1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,THCON_INSTRN_AVAILABLE_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,THREAD_INSTRUCTIONS_0,0.0113,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,THREAD_INSTRUCTIONS_1,0.766,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,THREAD_INSTRUCTIONS_2,0.0001,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,THREAD_STALLS_0,0.9786,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,THREAD_STALLS_1,0.0061,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,THREAD_STALLS_2,0.9994,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,UNPACK0_BUSY_THREAD0,0.9862,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,UNPACK0_BUSY_THREAD1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,UNPACK1_BUSY_THREAD0,0.9821,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,UNPACK1_BUSY_THREAD1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,UNPACK_INSTRN_AVAILABLE_0,0.0048,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,UNPACK_INSTRN_AVAILABLE_1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,UNPACK_INSTRN_AVAILABLE_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_MATH_IDLE_0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_MATH_IDLE_1,0.0078,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_MATH_IDLE_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_MMIO_IDLE_0,0.0003,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_MMIO_IDLE_1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_MMIO_IDLE_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_MOVE_IDLE_0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_MOVE_IDLE_1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_MOVE_IDLE_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_NONFULL_SEM_0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_NONFULL_SEM_1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_NONFULL_SEM_2,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_NONZERO_SEM_0,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_NONZERO_SEM_1,0.0,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_NONZERO_SEM_2,0.9994,2
COUNTERS-284-li-R110-N131072-K512,TopkLargeIndices,WAITING_FOR_PACK_IDLE_0,0.0,2
