# PROVENANCE: blackhole p100a, 110 worker cores, 1.35 GHz, firmware bundle 19.9.0; tt-metal main 2dbd14bf632; 2026-09-12 multipass perf counter capture (5 passes over the counter groups fpu, instrn, unpack, pack and l1_0 to l1_4; 10 top-k cells), reduced 2026-09-16 by analysis/topk_counters_reduce.py. fraction_of_ref_cnt = counter value over that record's own ref cnt on the same core, median over the participating cores then over the two timed invocations (three warm-ups discarded). The composite cell COUNTERS-289 is excluded from any reading: its second and third ops report an unusable ref cnt (tenstorrent/tt-metal#56791).
cell,op,counter,fraction_of_ref_cnt,n_samples
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_0_TDMA_BUNDLE_1_GRANT,0.1455,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_0_TDMA_BUNDLE_1_TRISC,0.1457,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_0_UNPACKER_0,0.0037,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_0_UNPACKER_0_GRANT,0.0037,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_0_UNPACKER_1_ECC,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_EXT_UNPACKER_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_EXT_UNPACKER_1_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_EXT_UNPACKER_2,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_EXT_UNPACKER_2_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_EXT_UNPACKER_3,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_EXT_UNPACKER_3_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_NOC_RING1_INCOMING_0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_NOC_RING1_INCOMING_0_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_NOC_RING1_INCOMING_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_NOC_RING1_INCOMING_1_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_NOC_RING1_OUTGOING_0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_NOC_RING1_OUTGOING_0_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_NOC_RING1_OUTGOING_1,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_NOC_RING1_OUTGOING_1_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_PORT8_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_1_TDMA_PACKER_0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_4,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_4_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_5,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_5_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_6,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_6_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_7,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_EXT_UNPACKER_7_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_NOC_RING0_INCOMING_2,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_NOC_RING0_INCOMING_2_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_NOC_RING0_INCOMING_3,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_NOC_RING0_INCOMING_3_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_NOC_RING0_OUTGOING_2,0.0074,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_NOC_RING0_OUTGOING_2_GRANT,0.0074,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_NOC_RING0_OUTGOING_3,0.0074,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_2_NOC_RING0_OUTGOING_3_GRANT,0.0074,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_NOC_RING1_INCOMING_2,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_NOC_RING1_INCOMING_2_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_NOC_RING1_INCOMING_3,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_NOC_RING1_INCOMING_3_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_NOC_RING1_OUTGOING_2,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_NOC_RING1_OUTGOING_2_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_NOC_RING1_OUTGOING_3,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_NOC_RING1_OUTGOING_3_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_0,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_0_GRANT,0.0,2
COUNTERS-282-li-R110-N16384-K512,TopkLargeIndices,L1_3_TDMA_PACK_EXT_1,0.0,2
