tag                    risc       mean     max max/mean  sum/64    wall  r(row)  r(blk)
baseline_focus         NCRISC     5433    7947     1.46    5433    7997   -0.94   -0.95
baseline_focus         BRISC      9833   12753     1.30    9833   12870   -0.53   -0.51
baseline_focus_r2      NCRISC     5352    7603     1.42    5352    7633   -0.95   -0.96
baseline_focus_r2      BRISC      9839   12449     1.27    9839   12560   -0.53   -0.53
baseline_focus_r3      NCRISC     5317    8075     1.52    5317    8091   -0.95   -0.96
baseline_focus_r3      BRISC      9858   12336     1.25    9858   12454   -0.49   -0.48
baseline_sweep         NCRISC     1971    2133     1.08    1971    2157   -0.71   -0.72
baseline_sweep         BRISC      3909    4782     1.22    3909    4857   +0.56   +0.54
bitrev_focus           NCRISC     5526    7879     1.43    5526    7931   -0.95   -0.15
bitrev_focus           BRISC      9337   12348     1.32    9337   12443   -0.75   -0.24
bitrev_sweep           NCRISC     1948    2088     1.07    1948    2183   -0.29   +0.29
bitrev_sweep           BRISC      3951    4880     1.24    3951    5017   +0.42   +0.02
colmajor_focus         NCRISC     5236    7902     1.51    5236    8008   -0.96   -0.24
colmajor_focus         BRISC      9382   11761     1.25    9382   11884   -0.59   -0.06
diag_focus             NCRISC     5353    7679     1.43    5353    7711   -0.96   -0.95
diag_focus             BRISC     10162   12506     1.23   10162   12593   -0.55   -0.53
diag_focus_r2          NCRISC     5682    8034     1.41    5682    8099   -0.96   -0.94
diag_focus_r2          BRISC      8854   11560     1.31    8854   11602   -0.87   -0.86
diag_focus_r3          NCRISC     5394    7990     1.48    5394    8022   -0.94   -0.93
diag_focus_r3          BRISC      9446   12058     1.28    9446   12113   -0.63   -0.63
diag_sweep             NCRISC     1941    2098     1.08    1941    2132   -0.50   -0.52
diag_sweep             BRISC      3957    4801     1.21    3957    4891   +0.60   +0.59
reverse_focus          NCRISC     5353    7751     1.45    5353    7808   -0.97   +0.98
reverse_focus          BRISC      9477   12444     1.31    9477   12557   -0.64   +0.62
snake_focus            NCRISC     5741    8290     1.44    5741    8350   -0.94   -0.93
snake_focus            BRISC      9396   12183     1.30    9396   12242   -0.79   -0.79
stride5_focus          NCRISC     5284    7376     1.40    5284    7433   -0.96   -0.21
stride5_focus          BRISC      9616   12717     1.32    9616   12823   -0.59   -0.09
stride9_focus          NCRISC     5335    7508     1.41    5335    7520   -0.94   -0.00
stride9_focus          BRISC      9801   12691     1.29    9801   12782   -0.56   -0.01
