GLOBAL CALL COUNT,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,DEVICE ID,DEVICE ARCH,OP NAME,CORE COUNT,AVAILABLE WORKER CORE COUNT,DEVICE TRACE FIRMWARE DURATION [ns],DEVICE TRACE KERNEL DURATION [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE FW DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,DEVICE KERNEL DURATION [ns],DEVICE KERNEL START CYCLE,DEVICE KERNEL END CYCLE,DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DM START CYCLE,DEVICE KERNEL DM END CYCLE,DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns]
1027,,,3,blackhole,,1,110,,,229,2477,1385345095715,1385345099059,2030,1385345096163,1385345098903,1889,1385345096353,1385345098903,1801,1493,1503,97,1521,,0,0
2051,,,3,blackhole,,88,110,,,399,4556,1385351250942,1385351257092,3610,1385351252069,1385351256942,3609,1385351252070,1385351256942,3601,3194,3216,251,3259,,4558368,4558042
3075,,,3,blackhole,,88,110,,,211,4632,1385351541272,1385351547525,3624,1385351542486,1385351547379,3624,1385351542486,1385351547379,3619,3198,3219,251,3260,,211488,211488
4099,,,3,blackhole,,88,110,,,207,4624,1385351610516,1385351616759,3607,1385351611741,1385351616611,3607,1385351611741,1385351616611,3607,3197,3224,253,3267,,47670,47670
5123,,,3,blackhole,,88,110,,,197,4612,1385351666155,1385351672381,3593,1385351667382,1385351672233,3593,1385351667382,1385351672233,3593,3192,3212,254,3254,,37605,37605
6147,,,3,blackhole,,88,110,,,210,4621,1385351721818,1385351728057,3596,1385351723055,1385351727910,3593,1385351723059,1385351727910,3593,3196,3218,256,3263,,37643,37645
7171,,,3,blackhole,,88,110,,,221,4664,1385351777639,1385351783935,3641,1385351778871,1385351783787,3640,1385351778873,1385351783787,3640,3230,3234,253,3287,,37744,37750
8195,,,3,blackhole,,88,110,,,229,4609,1385351833358,1385351839580,3587,1385351834588,1385351839431,3587,1385351834588,1385351839431,3587,3139,3163,249,3209,,37626,37626
9219,,,3,blackhole,,1,110,,,73,10984,1385356304956,1385356319785,10437,1385356305548,1385356319638,10436,1385356305550,1385356319638,10364,9170,9204,115,9337,,3308223,3308377
10243,,,3,blackhole,,1,110,,,114,10939,1385356527452,1385356542220,10409,1385356528026,1385356542078,10409,1385356528026,1385356542078,10350,9133,9186,137,9270,,154363,154363
11267,,,3,blackhole,,108,110,,,456,268073,1385376425048,1385376786947,259432,1385376436568,1385376786801,259431,1385376436569,1385376786801,259430,257436,257598,257521,257841,,14736668,14736654
12291,,,3,blackhole,,96,110,,,270,168599,1385399693329,1385399920937,166607,1385399695868,1385399920787,166600,1385399695877,1385399920787,166592,165136,165236,151713,165437,,16969713,16969686
13315,,,3,blackhole,,99,110,,,259,131021,1385410777616,1385410954494,119990,1385410792363,1385410954349,119990,1385410792363,1385410954349,119990,118785,118837,105012,119020,,8053044,8053044
14339,,,3,blackhole,,99,110,,,240,129976,1385412297185,1385412472653,118916,1385412311969,1385412472505,118913,1385412311972,1385412472505,118910,117716,117765,104498,117944,,1005648,1005644
15363,,,3,blackhole,,99,110,,,262,117364,1385419440802,1385419599243,114913,1385419443958,1385419599091,114905,1385419443969,1385419599091,114905,113640,113698,100470,113884,,5164024,5164039
16387,,,3,blackhole,,88,110,,,208,4639,1385419811558,1385419817820,3618,1385419812788,1385419817672,3616,1385419812790,1385419817672,3615,3203,3204,254,3263,,158304,158283
17411,,,3,blackhole,,88,110,,,170,3370,1385425192540,1385425197090,2351,1385425193770,1385425196944,2351,1385425193770,1385425196944,2351,1005,1059,253,355,,3982107,3982107
18435,,,3,blackhole,,88,110,,,201,8538,1385430712029,1385430723555,7506,1385430713275,1385430723408,7506,1385430713275,1385430723408,7506,6579,6650,266,6759,,4086211,4086211
19459,,,3,blackhole,,110,110,,,215,8450,1385437039676,1385437051084,6513,1385437042146,1385437050938,6507,1385437042154,1385437050938,6492,3670,3704,3269,5679,,4680839,4680792
20483,,,3,blackhole,,1,110,,,108,6104,1385438912481,1385438920722,5584,1385438913036,1385438920574,5564,1385438913062,1385438920574,5479,4764,4773,107,4824,,1379405,1379241
21507,,,3,blackhole,,4,110,,,96,1690,1385439178920,1385439181202,1085,1385439179588,1385439181053,1085,1385439179588,1385439181053,1085,583,647,177,271,,191829,191829
22531,,,3,blackhole,,110,110,,,234,239432,1392930249521,1392930572754,237402,1392930252114,1392930572607,237391,1392930252129,1392930572607,237391,236999,237039,236636,236658,,5548936333,5548938941
23555,,,3,blackhole,,110,110,,,190,122991,1392936894880,1392937060918,121020,1392936897392,1392937060769,121016,1392936897397,1392937060769,121004,120627,120651,120255,120264,,4685026,4685018
24579,,,3,blackhole,,110,110,,,196,44206,1392945123240,1392945182918,42169,1392945125844,1392945182772,42159,1392945125857,1392945182772,42159,41774,41810,41382,41404,,5974145,5974103
25603,,,3,blackhole,,110,110,,,187,43830,1392945301511,1392945360682,41790,1392945304119,1392945360536,41784,1392945304128,1392945360536,41784,41392,41441,41030,41052,,89886,89894
26627,,,3,blackhole,,110,110,,,1158,45892,1392945355962,1392945417916,41868,1392945361246,1392945417768,41866,1392945361249,1392945417768,41866,41474,41518,40833,40856,,526,528
27651,,,3,blackhole,,110,110,,,166,63153,1400672663915,1400672749171,62550,1400672664580,1400672749023,62550,1400672664580,1400672749023,62541,62356,,,,,5723852635,5723852635
28675,,,3,blackhole,,8,110,,,142,65204,1400676001369,1400676089395,62268,1400676005182,1400676089244,62268,1400676005182,1400676089244,62268,26384,,,,,2411964,2411964
29699,,,3,blackhole,,110,110,,,171,74899,1400678902135,1400679003249,74294,1400678902802,1400679003099,74294,1400678902802,1400679003099,74290,73993,,,,,2084115,2084115
30723,,,3,blackhole,,1,110,,,90,10992,1400819517552,1400819532391,10448,1400819518137,1400819532242,10448,1400819518137,1400819532242,10359,9185,9210,147,9328,,104083737,104083737
31747,,,3,blackhole,,1,110,,,116,10967,1400819638418,1400819653224,10450,1400819638960,1400819653068,10430,1400819638987,1400819653068,10338,9176,9186,111,9304,,79048,79068
32771,,,3,blackhole,,91,110,,,290,27756,1400830181069,1400830218539,26667,1400830182389,1400830218389,26667,1400830182389,1400830218389,26665,25367,25420,23822,25603,,7799595,7799595
