context_len,median_ms,min_ms,max_ms,tok_per_s_per_layer,iters
128,0.4767,0.4749,0.4827,2097.8,100
1024,0.5722,0.5697,0.5882,1747.8,100
4096,0.9124,0.9097,0.9214,1096.0,100
