context_len,median_ms,min_ms,max_ms,tok_per_s_per_layer,iters
128,0.5634,0.5605,0.5671,1775.0,100
1024,0.6619,0.6583,0.6693,1510.8,100
4096,0.9917,0.9895,0.997,1008.4,100
