seq_len,median_ms,min_ms,max_ms,us_per_token,iters
128,3.146,3.119,3.637,24.57,5
512,9.988,9.964,10.105,19.51,5
1024,18.817,18.712,18.867,18.38,5
2048,37.396,36.939,37.806,18.26,5
