OP_CODE,GL_CNT,GL,OP_NAME,PAD,STRIDE,FILT_H,FILT_W,INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,MEASURED_NANO_SEC
OptimizedConv,1,,conv1,3,2,7,7,1,224,224,3,1,1,224,64,322490
Untilize,2,,,,,,,1,112,112,64,,,,,70365
MaxPool,3,,pool1,1,2,3,3,1,112,112,64,,,,,313728
Tilize,4,,,,,,,1,56,56,64,,,,,4654
tt::operations::primary::Matmul,5,,res2a_branch2a,0,1,1,1,1,56,56,64,1,1,64,64,12598
tt::operations::primary::Matmul,6,,res2a_branch1,0,1,1,1,1,56,56,64,1,1,64,256,29322
Untilize,7,,,,,,,1,56,56,64,,,,,22016
OptimizedConv,8,,res2a_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,223760
tt::operations::primary::Matmul,9,,res2a_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,29328
EltwiseBinary,10,,,,,,,1,56,56,256,1,56,56,256,8271
tt::operations::primary::Matmul,11,,res2b_branch2a,0,1,1,1,1,56,56,256,1,1,256,64,25978
Untilize,12,,,,,,,1,56,56,64,-,-,-,-,22211
OptimizedConv,13,,res2b_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,223586
tt::operations::primary::Matmul,14,,res2b_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,29316
EltwiseBinary,15,,,,,,,1,56,56,256,1,1,25088,256,8255
tt::operations::primary::Matmul,16,,res2c_branch2a,0,1,1,1,1,56,56,256,1,1,256,64,25914
Untilize,17,,,,,,,1,56,56,64,-,-,-,-,22278
OptimizedConv,18,,res2c_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,223815
tt::operations::primary::Matmul,19,,res2c_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,29329
EltwiseBinary,20,,,,,,,1,56,56,256,1,1,25088,256,8230
tt::operations::primary::Matmul,21,,res3a_branch2a,0,1,1,1,1,56,56,256,1,1,256,128,44905
Untilize,22,,,,,,,1,56,56,256,-,-,-,-,53992
OptimizedConv,23,,res3a_branch1,0,2,1,1,1,56,56,256,1,1,256,512,66468
Untilize,24,,,,,,,1,56,56,128,-,-,-,-,30961
OptimizedConv,25,,res3a_branch2b,1,2,3,3,1,56,56,128,1,1,1152,128,92392
tt::operations::primary::Matmul,26,,res3a_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,36706
EltwiseBinary,27,,,,,,,1,28,28,512,1,1,6272,512,6017
tt::operations::primary::Matmul,28,,res3b_branch2a,0,1,1,1,1,28,28,512,1,1,512,128,35403
Untilize,29,,,,,,,1,28,28,128,-,-,-,-,11595
OptimizedConv,30,,res3b_branch2b,1,1,3,3,1,28,28,128,1,1,1152,128,112788
tt::operations::primary::Matmul,31,,res3b_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,36770
EltwiseBinary,32,,,,,,,1,28,28,512,1,1,6272,512,6029
tt::operations::primary::Matmul,33,,res3c_branch2a,0,1,1,1,1,28,28,512,1,1,512,128,34840
Untilize,34,,,,,,,1,28,28,128,-,-,-,-,11563
OptimizedConv,35,,res3c_branch2b,1,1,3,3,1,28,28,128,1,1,1152,128,112651
tt::operations::primary::Matmul,36,,res3c_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,36559
EltwiseBinary,37,,,,,,,1,28,28,512,1,1,6272,512,6026
tt::operations::primary::Matmul,38,,res3d_branch2a,0,1,1,1,1,28,28,512,1,1,512,128,34814
Untilize,39,,,,,,,1,28,28,128,-,-,-,-,11574
OptimizedConv,40,,res3d_branch2b,1,1,3,3,1,28,28,128,1,1,1152,128,112666
tt::operations::primary::Matmul,41,,res3d_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,36506
EltwiseBinary,42,,,,,,,1,28,28,512,1,1,6272,512,33680
InterleavedToSharded,43,,,,,,,1,28,28,512,1,1,6272,512,24016
tt::operations::primary::Matmul,44,,res4a_branch2a,0,1,1,1,1,28,28,512,1,1,512,256,60893
Untilize,45,,,,,,,1,28,28,512,-,-,-,-,75006
OptimizedConv,46,,res4a_branch1,0,2,1,1,1,28,28,512,1,1,512,1024,128234
Untilize,47,,,,,,,1,28,28,256,-,-,-,-,74876
OptimizedConv,48,,res4a_branch2b,1,2,3,3,1,28,28,256,1,1,2304,256,227119
tt::operations::primary::Matmul,49,,res4a_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,34103
EltwiseBinary,50,,,,,,,1,14,14,1024,1,1,1568,1024,5103
tt::operations::primary::Matmul,51,,res4b_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,32228
Untilize,52,,,,,,,1,14,14,256,-,-,-,-,19115
OptimizedConv,53,,res4b_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,265764
tt::operations::primary::Matmul,54,,res4b_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,34046
EltwiseBinary,55,,,,,,,1,14,14,1024,1,1,1568,1024,5104
tt::operations::primary::Matmul,56,,res4c_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,32358
Untilize,57,,,,,,,1,14,14,256,-,-,-,-,18993
OptimizedConv,58,,res4c_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,265714
tt::operations::primary::Matmul,59,,res4c_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,34082
EltwiseBinary,60,,,,,,,1,14,14,1024,1,1,1568,1024,5116
tt::operations::primary::Matmul,61,,res4d_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,32152
Untilize,62,,,,,,,1,14,14,256,-,-,-,-,18973
OptimizedConv,63,,res4d_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,265632
tt::operations::primary::Matmul,64,,res4d_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,34040
EltwiseBinary,65,,,,,,,1,14,14,1024,1,1,1568,1024,5109
tt::operations::primary::Matmul,66,,res4e_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,32275
Untilize,67,,,,,,,1,14,14,256,-,-,-,-,19009
OptimizedConv,68,,res4e_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,265715
tt::operations::primary::Matmul,69,,res4e_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,34066
EltwiseBinary,70,,,,,,,1,14,14,1024,1,1,1568,1024,5107
tt::operations::primary::Matmul,71,,res4f_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,32193
Untilize,72,,,,,,,1,14,14,256,-,-,-,-,18988
OptimizedConv,73,,res4f_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,265747
tt::operations::primary::Matmul,74,,res4f_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,34083
EltwiseBinary,75,,,,,,,1,14,14,1024,1,1,1568,1024,18992
InterleavedToSharded,76,,,,,,,1,14,14,1024,1,1,1568,1024,15693
tt::operations::primary::Matmul,77,,res5a_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,512,67812
Untilize,78,,,,,,,1,14,14,1024,-,-,-,-,24760
OptimizedConv,79,,res5a_branch1,0,2,1,1,1,14,14,1024,1,1,1024,2048,182000
Untilize,80,,,,,,,1,14,14,512,-,-,-,-,24340
OptimizedConv,81,,res5a_branch2b,1,2,3,3,1,14,14,512,1,1,4608,512,174587
tt::operations::primary::Matmul,82,,res5a_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,50375
EltwiseBinary,83,,,,,,,1,7,7,2048,1,1,416,2048,4819
tt::operations::primary::Matmul,84,,res5b_branch2a,0,1,1,1,1,7,7,2048,1,1,2048,512,58974
UntilizeWithUnpadding,85,,,,,,,1,7,7,512,-,-,-,-,8865
OptimizedConv,86,,res5b_branch2b,1,1,3,3,1,7,7,512,1,1,4608,512,226250
tt::operations::primary::Matmul,87,,res5b_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,49807
EltwiseBinary,88,,,,,,,1,7,7,2048,1,1,416,2048,4834
tt::operations::primary::Matmul,89,,res5b_branch2a,0,1,1,1,1,7,7,2048,1,1,2048,512,57061
UntilizeWithUnpadding,90,,,,,,,1,7,7,512,-,-,-,-,8883
OptimizedConv,91,,res5b_branch2b,1,1,3,3,1,7,7,512,1,1,4608,512,226301
tt::operations::primary::Matmul,92,,res5b_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,49785
EltwiseBinary,93,,,,,,,1,7,7,2048,1,1,416,2048,4818
Untilize,94,,,,,,,1,7,7,2048,-,-,-,-,12858
