OP_CODE,GL_CNT,GL,OP_NAME,PAD,STRIDE,FILT_H,FILT_W,INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,MEASURED_NANO_SEC
 OptimizedConv,1,,conv1,3,2,7,7,1,224,224,3,1,1,224,64,318214
Untilize,2,,,,,,,1,112,112,64,,,,,70252
MaxPool,3,,pool1,1,2,3,3,1,112,112,64,,,,,314502
Tilize,4,,,,,,,1,56,56,64,,,,,4633
 tt::operations::primary::Matmul,5,,res2a_branch2a,0,1,1,1,1,56,56,64,1,1,64,64,13469
 tt::operations::primary::Matmul,6,,res2a_branch1,0,1,1,1,1,56,56,64,1,1,64,256,34005
Untilize,7,,,,,,,1,56,56,64,,,,,22279
OptimizedConv,8,,res2a_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,223870
 tt::operations::primary::Matmul,9,,res2a_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,34184
 EltwiseBinary,10,,,,,,,1,56,56,256,1,56,56,256,8266
 tt::operations::primary::Matmul,11,,res2b_branch2a,0,1,1,1,1,56,56,256,1,1,256,64,26830
 Untilize,12,,,,,,,1,56,56,64,-,-,-,-,22200
 OptimizedConv,13,,res2b_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,223626
 tt::operations::primary::Matmul,14,,res2b_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,33983
 EltwiseBinary,15,,,,,,,1,56,56,256,1,1,25088,256,8237
 tt::operations::primary::Matmul,16,,res2c_branch2a,0,1,1,1,1,56,56,256,1,1,256,64,26829
 Untilize,17,,,,,,,1,56,56,64,-,-,-,-,22275
 OptimizedConv,18,,res2c_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,223769
 tt::operations::primary::Matmul,19,,res2c_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,33988
 EltwiseBinary,20,,,,,,,1,56,56,256,1,1,25088,256,8220
 tt::operations::primary::Matmul,21,,res3a_branch2a,0,1,1,1,1,56,56,256,1,1,256,128,46896
 Untilize,22,,,,,,,1,56,56,256,-,-,-,-,56364
 OptimizedConv,23,,res3a_branch1,0,2,1,1,1,56,56,256,1,1,256,512,65977
Untilize,24,,,,,,,1,56,56,128,-,-,-,-,31630
OptimizedConv,25,,res3a_branch2b,1,2,3,3,1,56,56,128,1,1,1152,128,92324
 tt::operations::primary::Matmul,26,,res3a_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,38908
 EltwiseBinary,27,,,,,,,1,28,28,512,1,1,6272,512,6027
 tt::operations::primary::Matmul,28,,res3b_branch2a,0,1,1,1,1,28,28,512,1,1,512,128,34946
Untilize,29,,,,,,,1,28,28,128,-,-,-,-,11720
OptimizedConv,30,,res3b_branch2b,1,1,3,3,1,28,28,128,1,1,1152,128,112661
 tt::operations::primary::Matmul,31,,res3b_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,39033
