OP_CODE,GL_CNT,GL,OP_NAME,PAD,STRIDE,FILT_H,FILT_W,INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,MEASURED_NANO_SEC
 OptimizedConv,1,,conv1,3,2,7,7,1,224,224,3,1,1,224,64,343468
Untilize,2,,,,,,,1,112,112,64,,,,,70398
MaxPool,3,,pool1,1,2,3,3,1,112,112,64,,,,,313956
Tilize,4,,,,,,,1,56,56,64,,,,,4635
 tt::operations::primary::Matmul,5,,res2a_branch2a,0,1,1,1,1,56,56,64,1,1,64,64,16926
 tt::operations::primary::Matmul,6,,res2a_branch1,0,1,1,1,1,56,56,64,1,1,64,256,33593
Untilize,7,,,,,,,1,56,56,64,,,,,22280
OptimizedConv,8,,res2a_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,226857
 tt::operations::primary::Matmul,9,,res2a_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,33611
 EltwiseBinary,10,,,,,,,1,56,56,256,1,56,56,256,18309
 tt::operations::primary::Matmul,11,,res2b_branch2a,0,1,1,1,1,56,56,256,1,1,256,64,30172
 Untilize,12,,,,,,,1,56,56,64,-,-,-,-,22163
 OptimizedConv,13,,res2b_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,226861
 tt::operations::primary::Matmul,14,,res2b_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,33879
 EltwiseBinary,15,,,,,,,1,56,56,256,1,1,25088,256,18361
 tt::operations::primary::Matmul,16,,res2c_branch2a,0,1,1,1,1,56,56,256,1,1,256,64,30186
 Untilize,17,,,,,,,1,56,56,64,-,-,-,-,22154
 OptimizedConv,18,,res2c_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,226901
 tt::operations::primary::Matmul,19,,res2c_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,33587
 EltwiseBinary,20,,,,,,,1,56,56,256,1,1,25088,256,18298
 tt::operations::primary::Matmul,21,,res3a_branch2a,0,1,1,1,1,56,56,256,1,1,256,128,53563
 Untilize,22,,,,,,,1,56,56,256,-,-,-,-,56725
 OptimizedConv,23,,res3a_branch1,0,2,1,1,1,56,56,256,1,1,256,512,68616
Untilize,24,,,,,,,1,56,56,128,-,-,-,-,31324
OptimizedConv,25,,res3a_branch2b,1,2,3,3,1,56,56,128,1,1,1152,128,93976
 tt::operations::primary::Matmul,26,,res3a_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,38607
 EltwiseBinary,27,,,,,,,1,28,28,512,1,1,6272,512,11084
 tt::operations::primary::Matmul,28,,res3b_branch2a,0,1,1,1,1,28,28,512,1,1,512,128,36634
Untilize,29,,,,,,,1,28,28,128,-,-,-,-,11486
OptimizedConv,30,,res3b_branch2b,1,1,3,3,1,28,28,128,1,1,1152,128,114341
 tt::operations::primary::Matmul,31,,res3b_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,39265
 EltwiseBinary,32,,,,,,,1,28,28,512,1,1,6272,512,11160
 tt::operations::primary::Matmul,33,,res3c_branch2a,0,1,1,1,1,28,28,512,1,1,512,128,36620
Untilize,34,,,,,,,1,28,28,128,-,-,-,-,11688
OptimizedConv,35,,res3c_branch2b,1,1,3,3,1,28,28,128,1,1,1152,128,114354
 tt::operations::primary::Matmul,36,,res3c_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,38814
 EltwiseBinary,37,,,,,,,1,28,28,512,1,1,6272,512,11150
 tt::operations::primary::Matmul,38,,res3d_branch2a,0,1,1,1,1,28,28,512,1,1,512,128,37238
Untilize,39,,,,,,,1,28,28,128,-,-,-,-,11592
OptimizedConv,40,,res3d_branch2b,1,1,3,3,1,28,28,128,1,1,1152,128,114362
 tt::operations::primary::Matmul,41,,res3d_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,39231
 EltwiseBinary,42,,,,,,,1,28,28,512,1,1,6272,512,33672
 tt::operations::primary::Matmul,43,,res4a_branch2a,0,1,1,1,1,28,28,512,1,1,512,256,75866
 Untilize,44,,,,,,,1,28,28,512,-,-,-,-,41733
 OptimizedConv,45,,res4a_branch1,0,2,1,1,1,28,28,512,1,1,512,1024,120160
 Untilize,46,,,,,,,1,28,28,256,-,-,-,-,22882
 OptimizedConv,47,,res4a_branch2b,1,2,3,3,1,28,28,256,1,1,2304,256,228381
 tt::operations::primary::Matmul,48,,res4a_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,39012
 EltwiseBinary,49,,,,,,,1,14,14,1024,1,1,1568,1024,20903
 tt::operations::primary::Matmul,50,,res4b_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,39699
 Untilize,51,,,,,,,1,14,14,256,-,-,-,-,15732
 OptimizedConv,52,,res4b_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,267043
 tt::operations::primary::Matmul,53,,res4b_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,39036
 EltwiseBinary,54,,,,,,,1,14,14,1024,1,1,1568,1024,21599
 tt::operations::primary::Matmul,55,,res4c_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,40094
 Untilize,56,,,,,,,1,14,14,256,-,-,-,-,15804
 OptimizedConv,57,,res4c_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,266913
 tt::operations::primary::Matmul,58,,res4c_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38531
 EltwiseBinary,59,,,,,,,1,14,14,1024,1,1,1568,1024,20938
 tt::operations::primary::Matmul,60,,res4d_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,39960
 Untilize,61,,,,,,,1,14,14,256,-,-,-,-,15911
 OptimizedConv,62,,res4d_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,267136
 tt::operations::primary::Matmul,63,,res4d_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38447
 EltwiseBinary,64,,,,,,,1,14,14,1024,1,1,1568,1024,21194
 tt::operations::primary::Matmul,65,,res4e_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,40015
 Untilize,66,,,,,,,1,14,14,256,-,-,-,-,15726
 OptimizedConv,67,,res4e_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,266915
 tt::operations::primary::Matmul,68,,res4e_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38745
 EltwiseBinary,69,,,,,,,1,14,14,1024,1,1,1568,1024,21508
 tt::operations::primary::Matmul,70,,res4f_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,256,40079
 Untilize,71,,,,,,,1,14,14,256,-,-,-,-,15834
 OptimizedConv,72,,res4f_branch2b,1,1,3,3,1,14,14,256,1,1,2304,256,267129
 tt::operations::primary::Matmul,73,,res4f_branch2c,0,1,1,1,1,14,14,256,1,1,256,1024,38789
 EltwiseBinary,74,,,,,,,1,14,14,1024,1,1,1568,1024,21355
 tt::operations::primary::Matmul,75,,res5a_branch2a,0,1,1,1,1,14,14,1024,1,1,1024,512,57109
 Untilize,76,,,,,,,1,14,14,1024,-,-,-,-,49196
 OptimizedConv,77,,res5a_branch1,0,2,1,1,1,14,14,1024,1,1,1024,2048,183979
 Untilize,78,,,,,,,1,14,14,512,-,-,-,-,26191
 OptimizedConv,79,,res5a_branch2b,1,2,3,3,1,14,14,512,1,1,4608,512,174689
 tt::operations::primary::Matmul,80,,res5a_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,55914
 EltwiseBinary,81,,,,,,,1,7,7,2048,1,1,416,2048,14153
 tt::operations::primary::Matmul,82,,res5b_branch2a,0,1,1,1,1,7,7,2048,1,1,2048,512,62483
 UntilizeWithUnpadding,83,,,,,,,1,7,7,512,-,-,-,-,167181
 OptimizedConv,84,,res5b_branch2b,1,1,3,3,1,7,7,512,1,1,4608,512,227606
 tt::operations::primary::Matmul,85,,res5b_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,54321
 EltwiseBinary,86,,,,,,,1,7,7,2048,1,1,416,2048,14783
 tt::operations::primary::Matmul,87,,res5b_branch2a,0,1,1,1,1,7,7,2048,1,1,2048,512,64544
 UntilizeWithUnpadding,88,,,,,,,1,7,7,512,-,-,-,-,167322
 OptimizedConv,89,,res5b_branch2b,1,1,3,3,1,7,7,512,1,1,4608,512,227724
 tt::operations::primary::Matmul,90,,res5b_branch2c,0,1,1,1,1,7,7,512,1,1,512,2048,54567
 EltwiseBinary,91,,,,,,,1,7,7,2048,1,1,416,2048,14233
 Untilize,92,,,,,,,1,7,7,2048,-,-,-,-,87020
 Unpad,93,,,,,,,1,7,7,2048,-,-,-,-,10613
 Pad,94,,,,,,,1,7,7,2048,-,-,-,-,91675
 Tilize,95,,,,,,,1,7,7,2048,-,-,-,-,85549
 Reduce,96,,,,,,,1,1,64,2048,-,-,-,-,12907
 Untilize,97,,,,,,,1,1,32,2048,-,-,-,-,70970
 Unpad,98,,,,,,,1,1,32,2048,-,-,-,-,4557
 Pad,99,,,,,,,1,1,1,2048,-,-,-,-,28795
 Tilize,100,,,,,,,1,1,32,2048,-,-,-,-,31582
 tt::operations::primary::Matmul,101,,fc,,,,,1,1,32,2048,1,1,2048,1024,55589
 UntilizeWithUnpadding,102,,,,,,,1,1,32,1024,-,-,-,-,26531
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
