OP_CODE,GL_CNT,GL,OP_NAME,PAD,STRIDE,FILT_H,FILT_W,INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,MEASURED_NANO_SEC
 OptimizedConv,1,,conv1,3,2,7,7,1,224,224,3,1,1,224,64,316122
 Untilize,2,,,,,,,1,112,112,64,,,,,70430
 MaxPool,3,,pool1,1,2,3,3,1,112,112,64,,,,,291755
 Tilize,4,,,,,,,1,56,56,64,,,,,4612
 tt::operations::primary::Matmul,5,,res2a_branch2a,0,1,1,1,1,56,56,64,1,1,64,64,12899
 tt::operations::primary::Matmul,6,,res2a_branch1,0,1,1,1,1,56,56,64,1,1,64,256,29607
 Untilize,7,,,,,,,1,56,56,64,,,,,22181
 OptimizedConv,8,,res2a_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,221669
 tt::operations::primary::Matmul,9,,res2a_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,29647
 EltwiseBinary,10,,,,,,,1,56,56,256,1,56,56,256,8265
 tt::operations::primary::Matmul,11,,res2b_branch2a,0,1,1,1,1,56,56,256,1,1,256,64,26229
 Untilize,12,,,,,,,1,56,56,64,-,-,-,-,22154
 OptimizedConv,13,,res2b_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,221657
 tt::operations::primary::Matmul,14,,res2b_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,29629
 EltwiseBinary,15,,,,,,,1,56,56,256,1,1,25088,256,8221
 tt::operations::primary::Matmul,16,,res2c_branch2a,0,1,1,1,1,56,56,256,1,1,256,64,26237
 Untilize,17,,,,,,,1,56,56,64,-,-,-,-,22379
 OptimizedConv,18,,res2c_branch2b,1,1,3,3,1,56,56,64,1,1,576,64,221603
 tt::operations::primary::Matmul,19,,res2c_branch2c,0,1,1,1,1,56,56,64,1,1,64,256,29635
 EltwiseBinary,20,,,,,,,1,56,56,256,1,1,25088,256,8254
 tt::operations::primary::Matmul,21,,res3a_branch2a,0,1,1,1,1,56,56,256,1,1,256,128,45223
 Downsample,22,,,0,2,1,1,1,56,56,256,-,-,-,-,33696
 tt::operations::primary::Matmul,23,,res3a_branch1,0,1,1,1,1,28,28,256,1,1,256,512,63647
 Untilize,24,,,,,,,1,56,56,128,-,-,-,-,31470
 OptimizedConv,25,,res3a_branch2b,1,2,3,3,1,56,56,128,1,1,1152,128,90102
 tt::operations::primary::Matmul,26,,res3a_branch2c,0,1,1,1,1,28,28,128,1,1,128,512,36883
 EltwiseBinary,27,,,,,,,1,28,28,512,1,1,6272,512,5994
 tt::operations::primary::Matmul,28,,res3b_branch2a,0,1,1,1,1,28,28,512,1,1,512,128,35147
