dump_callstacks.py:
Dev,Loc,RiscV,Kernel ID,Kernel Name,Subdevice,Go Message,Preload,Waypoint,PC,Kernel Callstack
3,"16-2 (11,0)",brisc,1,cq_prefetch,0,GO,False,X,0x112d4,"\n#0 0x000112D4 in fetch_q_get_cmds<0> () at ./tt_metal/impl/dispatch/kernels/cq_prefetch.cpp 795:42\n#1 kernel_main_hd () at ./tt_metal/impl/dispatch/kernels/cq_prefetch.cpp 2757:40"
3,"16-3 (11,1)",brisc,2,cq_dispatch,0,GO,False,X,0xab48,"\n#0 0x0000AB48 in CBReader<0, 12, 4, 32, 114688>::acquire_pages<TelemetryBlockGuard<111960, 111964, (& upstream_blocked_counter), true> > () at /home/jashan/tt-metal/tt_metal/impl/dispatch/kernels/cq_common.hpp 490:52\n#1 CBReaderWithReleasePolicy<0, 12, 4, 1, 142, 0, 32, 114688, NocReleasePolicy>::wait_for_available_data_and_release_old_pages<TelemetryBlockGuard<111960, 111964, (& upstream_blocked_counter), true> > () at /home/jashan/tt-metal/tt_metal/impl/dispatch/kernels/cq_common.hpp 555:44\n#2 kernel_main () at ./tt_metal/impl/dispatch/kernels/cq_dispatch.cpp 1563:102"
3,"16-3 (11,1)",trisc0,4,cq_dispatch_subordinate_compute,0,GO,False,X,0xe2c0,"\n#0 0x0000E2C0 in kernel_main () at ./tt_metal/impl/dispatch/kernels/cq_dispatch_subordinate_compute.cpp 67:39\n#1 kernel_main () at ./tt_metal/impl/dispatch/kernels/cq_dispatch_subordinate_compute.cpp 27:6\n#2 run_kernel () at /home/jashan/tt-metal/tt_metal/hw/ckernels/blackhole/metal/common/chlkc_list.h 38:16\n#3 _start () at /home/jashan/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisck.cc 89:15"
3,"16-3 (11,1)",trisc1,4,cq_dispatch_subordinate_compute,0,GO,False,X,0x71a8,"\n#0 0x000071A8 in main () at /home/jashan/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc 135:16"
3,"16-3 (11,1)",trisc2,4,cq_dispatch_subordinate_compute,0,GO,False,X,0x7bcc,"\n#0 0x00007BCC in main () at /home/jashan/tt-metal/tt_metal/hw/firmware/src/tt-1xx/trisc.cc 135:16"
3,"16-3 (11,1)",ncrisc,3,cq_dispatch_subordinate,0,GO,False,X,0xd770,"\n#0 0x0000D770 in cb_acquire_pages_dispatch_s<206, 1> () at ./tt_metal/impl/dispatch/kernels/cq_dispatch_subordinate.cpp 291:76\n#1 kernel_main () at ./tt_metal/impl/dispatch/kernels/cq_dispatch_subordinate.cpp 562:70\n#2 _start () at /home/jashan/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisck.cc 72:16"
3,"16-11 (11,9)",brisc,5,cq_realtime_profiler,0,GO,False,X,0xa0a0,"\n#0 0x0000A0A0 in kernel_main () at ./tt_metal/impl/dispatch/kernels/cq_realtime_profiler.cpp 121:38\n#1 _start () at /home/jashan/tt-metal/tt_metal/hw/firmware/src/tt-1xx/brisck.cc 80:20"
3,"16-11 (11,9)",ncrisc,6,cq_realtime_profiler_push,0,GO,False,X,0xa420,"\n#0 0x0000A420 in kernel_main () at ./tt_metal/impl/dispatch/kernels/cq_realtime_profiler_push.cpp 132:9\n#1 _start () at /home/jashan/tt-metal/tt_metal/hw/firmware/src/tt-1xx/ncrisck.cc 72:16"

dump_fast_dispatch.py:
