Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 110
Sorting CSV by 'HOST START TS' column...
Using operations after 'PERF_PREFILL_layer0_sliding_attention_seq1024_batch1'.
Using operations until 'PERF_PREFILL_layer0_sliding_attention_seq1024_batch1_END'.
Detected data from 1 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID     Total %  Bound  OP Code                                                       Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs         FLOPs %  Math Fidelity            
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  640    0.0 %         LayerNormDeviceOperation                                            3        47 μs                   32                                                  BF16, BF16 => BF16
  641    0.4 %   FLOP  MatmulDeviceOperation 1024 x 2816 x 8192                            3       485 μs         40 μs     88  142 GB/s  27.7 %   97.5 TFLOPs   80.1 %  HiFi4 BF16 x BF16 => BF16
  642    0.1 %         NlpCreateHeadsDeviceOperation                                       3       117 μs          1 μs     32                                                        BF16 => BF16
  643    0.0 %         LayerNormDeviceOperation                                            3        46 μs          0 μs    110                                                  BF16, BF16 => BF16
  644    0.0 %         LayerNormDeviceOperation                                            3        30 μs          0 μs    110                                                  BF16, BF16 => BF16
  645    0.0 %         LayerNormDeviceOperation                                            3        23 μs          1 μs    110                                                        BF16 => BF16
  646    0.1 %         RotaryEmbeddingHfDeviceOperation                                    3       121 μs          1 μs    110                                                  BF16, BF16 => BF16
  647    0.1 %         RotaryEmbeddingHfDeviceOperation                                    3        80 μs          1 μs    110                                                  BF16, BF16 => BF16
  648    0.0 %         PagedFillCacheDeviceOperation                                       3        22 μs          0 μs    110                                                  BF16, BF16 => BF16
  649    0.0 %         PagedFillCacheDeviceOperation                                       3        22 μs          1 μs    110                                                  BF16, BF16 => BF16
  650    0.6 %         SDPAOperation                                                       3       717 μs          1 μs    110                                                  BF16, BF16 => BF16
  651    0.1 %         NLPConcatHeadsDeviceOperation                                       3        60 μs          1 μs     32                                                        BF16 => BF16
  652    0.2 %   FLOP  MatmulDeviceOperation 1024 x 4096 x 2816                            3       272 μs          0 μs     88  137 GB/s  26.7 %   86.7 TFLOPs   71.3 %  HiFi4 BF16 x BF16 => BF16
  653    0.0 %         LayerNormDeviceOperation                                            3        49 μs          1 μs     32                                                  BF16, BF16 => BF16
  654    0.0 %         BinaryNgDeviceOperation                                             3        40 μs          1 μs    110                                                  BF16, BF16 => BF16
  655    0.0 %         LayerNormDeviceOperation                                            3        48 μs          1 μs     32                                                  BF16, BF16 => BF16
  656    0.1 %   FLOP  MatmulDeviceOperation 1024 x 2816 x 2112                            3        75 μs          1 μs     88  213 GB/s  41.7 %  162.1 TFLOPs   66.6 %  HiFi2 BF16 x BFP8 => BF16
