Total % [%],Op Code,Device,Device Time Sum [μs],Op Count,Op Category,Min FLOPs [%],Max FLOPs [%],Mean FLOPs [%],Std FLOPs [%],Weighted Mean FLOPs [%]
48.84,MatmulDeviceOperation (in0:dram_interleaved),1,40263.47,301,Compute,2.07,24.10,21.76,1.71,21.21
48.43,MatmulDeviceOperation (in0:dram_interleaved),2,40221.30,301,Compute,2.07,24.10,21.78,1.71,21.21
48.57,MatmulDeviceOperation (in0:dram_interleaved),0,40210.84,301,Compute,2.07,24.15,21.79,1.71,21.21
48.90,MatmulDeviceOperation (in0:dram_interleaved),3,40198.31,301,Compute,2.07,24.12,21.80,1.72,21.21
23.71,LayerNormDeviceOperation (in0:dram_interleaved),2,19689.69,421,Compute,,,,,
23.84,LayerNormDeviceOperation (in0:dram_interleaved),1,19656.93,421,Compute,,,,,
23.74,LayerNormDeviceOperation (in0:dram_interleaved),0,19652.27,421,Compute,,,,,
23.87,LayerNormDeviceOperation (in0:dram_interleaved),3,19623.62,421,Compute,,,,,
6.89,ReduceScatterDeviceOperation (in0:dram_interleaved),0,5700.70,120,DM,,,,,
6.82,ReduceScatterDeviceOperation (in0:dram_interleaved),1,5622.80,120,DM,,,,,
5.91,AllGatherDeviceOperation (in0:dram_interleaved),2,4907.89,122,DM,,,,,
5.67,ReduceScatterDeviceOperation (in0:dram_interleaved),2,4708.05,120,DM,,,,,
5.60,AllGatherDeviceOperation (in0:dram_interleaved),3,4601.02,122,DM,,,,,
5.25,ReduceScatterDeviceOperation (in0:dram_interleaved),3,4318.29,120,DM,,,,,
4.50,AllGatherDeviceOperation (in0:dram_interleaved),0,3723.27,122,DM,,,,,
4.14,AllGatherDeviceOperation (in0:dram_interleaved),1,3410.62,122,DM,,,,,
4.00,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),0,3314.03,60,TM,,,,,
3.99,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),2,3310.52,60,TM,,,,,
4.01,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),1,3305.27,60,TM,,,,,
4.02,NlpCreateHeadsDeviceOperation (in0:dram_interleaved),3,3302.01,60,TM,,,,,
3.15,BinaryNgDeviceOperation (in0:dram_interleaved),2,2615.16,243,Compute,,,,,
3.16,BinaryNgDeviceOperation (in0:dram_interleaved),0,2612.54,243,Compute,,,,,
3.16,BinaryNgDeviceOperation (in0:dram_interleaved),1,2608.48,243,Compute,,,,,
3.17,BinaryNgDeviceOperation (in0:dram_interleaved),3,2604.51,243,Compute,,,,,
2.98,RotaryEmbeddingDeviceOperation (in0:dram_interleaved),2,2472.72,120,Compute,,,,,
2.98,RotaryEmbeddingDeviceOperation (in0:dram_interleaved),1,2460.84,120,Compute,,,,,
2.99,RotaryEmbeddingDeviceOperation (in0:dram_interleaved),3,2460.00,120,Compute,,,,,
2.97,RotaryEmbeddingDeviceOperation (in0:dram_interleaved),0,2455.36,120,Compute,,,,,
2.70,SDPAOperation (in0:dram_interleaved),2,2245.49,60,Compute,,,,,
2.71,SDPAOperation (in0:dram_interleaved),1,2232.91,60,Compute,,,,,
2.72,SDPAOperation (in0:dram_interleaved),3,2232.89,60,Compute,,,,,
2.70,SDPAOperation (in0:dram_interleaved),0,2232.29,60,Compute,,,,,
2.27,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),0,1879.04,60,TM,,,,,
2.28,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),1,1876.74,60,TM,,,,,
2.26,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),2,1875.84,60,TM,,,,,
2.27,NLPConcatHeadsDeviceOperation (in0:dram_interleaved),3,1867.23,60,TM,,,,,
0.55,UnaryDeviceOperation (in0:dram_interleaved),2,454.13,61,Compute,,,,,
0.55,UnaryDeviceOperation (in0:dram_interleaved),1,453.30,61,Compute,,,,,
0.55,UnaryDeviceOperation (in0:dram_interleaved),0,453.30,61,Compute,,,,,
0.55,UnaryDeviceOperation (in0:dram_interleaved),3,450.66,61,Compute,,,,,
0.31,PagedFillCacheDeviceOperation (in0:dram_interleaved),2,257.83,120,Other,,,,,
0.31,PagedFillCacheDeviceOperation (in0:dram_interleaved),3,254.40,120,Other,,,,,
0.31,PagedFillCacheDeviceOperation (in0:dram_interleaved),1,253.87,120,Other,,,,,
0.31,PagedFillCacheDeviceOperation (in0:dram_interleaved),0,253.72,120,Other,,,,,
0.18,SliceDeviceOperation (in0:dram_interleaved),2,146.68,121,TM,,,,,
0.18,SliceDeviceOperation (in0:dram_interleaved),1,146.59,121,TM,,,,,
0.18,SliceDeviceOperation (in0:dram_interleaved),0,146.40,121,TM,,,,,
0.18,SliceDeviceOperation (in0:dram_interleaved),3,146.30,121,TM,,,,,
0.12,UntilizeDeviceOperation (in0:dram_interleaved),3,101.10,1,TM,,,,,
0.12,UntilizeDeviceOperation (in0:dram_interleaved),2,100.55,1,TM,,,,,
0.12,UntilizeDeviceOperation (in0:dram_interleaved),0,100.34,1,TM,,,,,
0.12,UntilizeDeviceOperation (in0:dram_interleaved),1,100.02,1,TM,,,,,
0.05,TilizeDeviceOperation (in0:dram_interleaved),0,42.34,1,TM,,,,,
0.05,TilizeDeviceOperation (in0:dram_interleaved),1,42.18,1,TM,,,,,
0.05,TilizeDeviceOperation (in0:dram_interleaved),3,42.09,1,TM,,,,,
0.05,TilizeDeviceOperation (in0:dram_interleaved),2,42.02,1,TM,,,,,
0.01,EmbeddingsDeviceOperation (in0:dram_interleaved),0,8.31,1,Compute,,,,,
0.01,EmbeddingsDeviceOperation (in0:dram_interleaved),1,8.18,1,Compute,,,,,
0.01,EmbeddingsDeviceOperation (in0:dram_interleaved),2,8.17,1,Compute,,,,,
