OP_NAME,DEVICE_ID,CALL_IDX,KERNEL_DUR_us,CORES,AVAIL_CORES,CORE_UTIL%,MATH_FIDELITY,IN0_SHAPE,IN0_LAYOUT,IN0_DTYPE,IN0_MEM,IN1_SHAPE,IN1_MEM,OUT0_SHAPE,OUT0_MEM,FPU_UTIL%,DRAM_BW_UTIL%
EmbeddingsDeviceOperation,0,101376,0.00,70,70,100.0,HiFi4,8192[8192],ROW_MAJOR,UINT32,DRAM_INTERLEAVED,128256[128256]x2048[2048],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,102400,220.40,70,70,100.0,HiFi4,8192[8192]x2048[2048],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
LayerNormPreAllGatherDeviceOperation,0,103424,137.44,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x32[32],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,104448,43.76,24,70,34.3,,8192[8192]x32[32],TILE,BFLOAT16,DRAM_INTERLEAVED,,,8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
LayerNormPostAllGatherDeviceOperation,0,105472,228.39,70,70,100.0,HiFi2,8192[8192]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,8192[8192]x128[128],DRAM_INTERLEAVED,8192[8192]x2048[2048],DRAM_INTERLEAVED,0.0,0.0
MatmulDeviceOperation,0,106496,571.46,56,70,80.0,HiFi2,4[4]x2048[2048]x2048[2048],TILE,BFLOAT8_B,DRAM_INTERLEAVED,2048[2048]x1280[1280],DRAM_INTERLEAVED,4[4]x2048[2048]x1280[1280],DRAM_INTERLEAVED,52.4,0.0
ReduceScatterMinimalAsyncDeviceOperation,0,107520,264.81,40,70,57.1,HiFi4,8192[8192]x1280[1280],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x1280[1280],DRAM_INTERLEAVED,0.0,0.0
AllGatherAsyncDeviceOperation,0,108544,187.13,40,70,57.1,,8192[8192]x320[320],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8192[8192]x1280[1280],DRAM_INTERLEAVED,0.0,0.0
NlpCreateHeadsDeviceOperation,0,109568,116.35,70,70,100.0,,8192[8192]x1280[1280],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
TypecastDeviceOperation,0,110592,144.31,70,70,100.0,HiFi4,8[8]x8192[8192]x128[128],TILE,BFLOAT8_B,DRAM_INTERLEAVED,,,8[8]x8192[8192]x128[128],DRAM_INTERLEAVED,0.0,0.0
